"","ResponseId","met_a-time-1_Page Submit","met_a-time-2_Page Submit","met_a-time-3_Page Submit","met_a-time-4_Page Submit","met_a-time-5_Page Submit","met_a-time-6_Page Submit","met_na-time-1_Page Submit","met_na-time-2_Page Submit","met_na-time-3_Page Submit","met_na-time-4_Page Submit","met_na-time-5_Page Submit","met_na-time-6_Page Submit","lit-time-1_Page Submit","lit-time-2_Page Submit","lit-time-3_Page Submit","lit-time-4_Page Submit","lit-time-5_Page Submit","lit-time-6_Page Submit","text_type","ave_time"
"1","R_W3DviIB8Z4h76Ex",1.988,1.38,0.457,0.445,0.941,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",0.995333333333333
"2","R_DIBqUQDWuK1J3cB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.873,10.474,10.364,13.278,15.045,10.929,"literal",12.1605
"3","R_1I4P0YoJv60uspW",10.889,14.616,15.872,17.183,8.837,6.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",12.3271666666667
"4","R_aWcPMD0RVpFoo2R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.496,11.006,11.032,10.409,43.36,41.895,"literal",22.6996666666667
"5","R_3oTtFD3ss3awYJW",NA,NA,NA,NA,NA,NA,16.77,15.249,17.131,51.62,55.189,1.682,NA,NA,NA,NA,NA,NA,"met_na",26.2735
"6","R_245JgjxdecpGziQ",18.496,10.09,12.111,12.759,8.829,7.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",11.6155
"7","R_2b3tulL7LeK6chJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.991,20.092,39.048,530.596,27.069,14.626,"literal",123.237
"8","R_tMrKxCq6yyTBDKV",NA,NA,NA,NA,NA,NA,23.267,19.899,16.838,12.511,12.716,10.186,NA,NA,NA,NA,NA,NA,"met_na",15.9028333333333
"9","R_10uQ8XJswdlJR4a",NA,NA,NA,NA,NA,NA,33.72,13.21,17.825,15.47,10.956,16.336,NA,NA,NA,NA,NA,NA,"met_na",17.9195
"10","R_3NJUdVnoFzSgASu",37.499,10.477,13.339,5.672,34.411,4.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",17.6943333333333
"11","R_uy9KlvDZQoaUqfn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.977,8.462,8.594,10.394,5.12,4.364,"literal",7.98516666666667
"12","R_1rxBz1qyDYUBC8w",23.336,15.453,20.199,18.891,10.497,11.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",16.6993333333333
"13","R_25QwlsfsSVv9u1u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.712,11.917,16.378,9.805,10.481,5.603,"literal",10.816
"14","R_1FfBXgVoP7NHg78",NA,NA,NA,NA,NA,NA,27.116,173.365,95.032,32.635,26.582,35.152,NA,NA,NA,NA,NA,NA,"met_na",64.9803333333333
"15","R_Od5ZiOdG5XuSvNn",21.721,19.415,24.731,14.484,9.956,10.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",16.8273333333333
"16","R_3PpGXtH3p5GBdmU",NA,NA,NA,NA,NA,NA,40.598,52.461,26.54,34.475,19.571,16.494,NA,NA,NA,NA,NA,NA,"met_na",31.6898333333333
"17","R_27OLftinfz8YLoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.679,7.389,2.551,5.703,9.921,3.195,"literal",9.073
"18","R_1OSPNxE1KupvYKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.447,15.691,21.987,15,15.061,14.376,"literal",17.2603333333333
"19","R_2wT7GwZCiUD153T",50.427,14.488,16.03,14.562,20.825,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",20.5803333333333
"20","R_1hzlO19oICAS3FP",NA,NA,NA,NA,NA,NA,9.8,14.191,13.648,15.501,10.609,8.736,NA,NA,NA,NA,NA,NA,"met_na",12.0808333333333
"21","R_Rbpdg5Y6zga82m5",NA,NA,NA,NA,NA,NA,7.198,195.331,3.856,5.004,10.73,15.029,NA,NA,NA,NA,NA,NA,"met_na",39.5246666666667
"22","R_3JArBfPk2kmpNBL",14.29,41.59,17.991,9.906,13.96,15.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",18.791
"23","R_3h0gmMdbIz21ooq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.854,4.258,5.253,2.234,3.688,103.665,"literal",29.1586666666667
"24","R_1mKGEvjau7aN5pY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.46,11.845,19.041,13.766,15.735,17.203,"literal",24.8416666666667
"25","R_1FQDah1JRlOCqpt",NA,NA,NA,NA,NA,NA,48.219,89.506,76.078,97.492,53.752,87.035,NA,NA,NA,NA,NA,NA,"met_na",75.347
"26","R_1nTr4m2OUg6gaCJ",18.481,22.527,35.461,21.486,16.009,25.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",23.1788333333333
"27","R_2yphJZR6FYANrpA",16.423,26.078,16.762,18.653,9.595,10.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",16.3165
"28","R_2Eaxnpn1FGMAZWO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.275,17.105,15.667,17.247,10.063,9.389,"literal",16.1243333333333
"29","R_2YxL6K7a2b6ahzM",NA,NA,NA,NA,NA,NA,150.434,25.198,170.322,38.482,36.96,16.246,NA,NA,NA,NA,NA,NA,"met_na",72.9403333333333
"30","R_1lxZlJev0Exlx0m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.573,12.213,41.244,31.506,16.645,5.191,"literal",24.3953333333333
"31","R_3CE56D06Oq7PGQG",26.173,30.468,25.186,41.576,28.605,18.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",28.4126666666667
"32","R_2v370iLN1lHl2DG",NA,NA,NA,NA,NA,NA,3.124,8.672,3.038,10.944,14.985,13.67,NA,NA,NA,NA,NA,NA,"met_na",9.07216666666667
"33","R_Z4Pj4K2vSBmd8VX",13.615,16.892,17.312,32.943,11.79,139.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",38.7451666666667
"34","R_3QRWT3RH81LtwkR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.853,33.77,33.447,20.85,24.779,30.141,"literal",29.3066666666667
"35","R_3hgbbK8C2r3sDyW",55.831,18.561,15.26,27.884,9.639,7.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",22.412
"36","R_vdVrKKzhycfREl3",NA,NA,NA,NA,NA,NA,17.651,19.571,56.506,27.108,11.163,21.892,NA,NA,NA,NA,NA,NA,"met_na",25.6485
"37","R_1pKZIZBWRR3jCMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.429,7.816,8.233,5.589,10.508,9.504,"literal",12.6798333333333
"38","R_x3FD34cmWapTWet",NA,NA,NA,NA,NA,NA,27.29,28.27,24.456,23.661,12.134,9.059,NA,NA,NA,NA,NA,NA,"met_na",20.8116666666667
"39","R_eLmn0djn0GlxDP3",26.22,28.066,17.748,22.658,19.73,19.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",22.3235
"40","R_UmsYUGWuCEdfNER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683,0.669,0.352,0.283,0.173,1.129,"literal",0.548166666666667
"41","R_Wck5VkPKpV4WFdD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.74,14.742,18.496,19.903,13.303,28.635,"literal",21.8031666666667
"42","R_3JlnxZeBXGfNDBg",13.614,16.458,14.328,13.013,7.337,7.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",12.0095
"43","R_tLjGUEtBshgOqKB",NA,NA,NA,NA,NA,NA,19.379,15.855,17.907,16.428,10.204,6.497,NA,NA,NA,NA,NA,NA,"met_na",14.3783333333333
"44","R_2tzihHvvHw9u2p3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.68,59.093,16.708,27.235,22.058,212.598,"literal",61.562
"45","R_2q9tSSs0dBIWXxJ",NA,NA,NA,NA,NA,NA,14.474,13.263,14.028,13.743,8.783,8.353,NA,NA,NA,NA,NA,NA,"met_na",12.1073333333333
"46","R_3HFIh9EyWi4FT4L",36.748,25.91,23.601,35.04,41.46,15.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",29.7561666666667
"47","R_9GZg2mN3SkZZxeN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,22.832,20.904,23.976,10.591,16.517,"literal",19.57
"48","R_3QGKZHHp4jXfLNw",NA,NA,NA,NA,NA,NA,23.3,32.742,26.516,20.626,15.487,12.609,NA,NA,NA,NA,NA,NA,"met_na",21.88
"49","R_3lS0Mih8TKHBZkF",12.779,12.968,13.169,12.121,10.777,5.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",11.1453333333333
"50","R_bCbFwU5s03oeOoV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.265,21.33,19.751,17.691,16.733,9.897,"literal",21.6111666666667
"51","R_3qrNBGVyL2V31E3",NA,NA,NA,NA,NA,NA,18.714,18.266,14.97,15.418,10.936,7.755,NA,NA,NA,NA,NA,NA,"met_na",14.3431666666667
"52","R_3hEL8chBLCPd6u7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_na",NA
"53","R_2vkrisqWJ6Amaaw",NA,NA,NA,NA,NA,NA,40.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_na",40.358
"54","R_Qn5whETlJhp2l4l",1.848,1.184,1.031,0.35,0.946,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",1.0415
"55","R_3MuStv3end0nnHd",34.053,24.727,22.875,24.781,20.376,27.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",25.7345
"56","R_3kbxrYUfYvnCOn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.107,22.127,12.145,12.463,14.564,8.972,"literal",15.7296666666667
"57","R_1PRYLqIvruBBve6",69.366,30.014,32.423,59.627,21.594,26.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",39.8836666666667
"58","R_238NpxLjdYERtAx",NA,NA,NA,NA,NA,NA,15.357,14.351,17.93,11.404,16.628,8.492,NA,NA,NA,NA,NA,NA,"met_na",14.027
"59","R_5avVUMhLK9okLND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.302,22.315,27.992,24.84,22.437,17.152,"literal",24.173
"60","R_OweeVxCT8Dz8jnj",24.39,16.482,422.405,0.732,2.488,2.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"met_a",78.1983333333333
"61","R_3MngODPaLoA67OP",NA,NA,NA,NA,NA,NA,33.367,119.597,19.188,82.358,24.79,22.458,NA,NA,NA,NA,NA,NA,"met_na",50.293
